,지수,GDP,고용,고용,고용,고용,소비,소비,소비,산업 및 생산,산업 및 생산,산업 및 생산,산업 및 생산,주택 및 건설,주택 및 건설,주택 및 건설,주택 및 건설,주택 및 건설,금융,금융,금융,금융,해외,해외,해외,부채 및 연준,부채 및 연준,부채 및 연준,부채 및 연준,금리
날짜,S&P 500 지수,실질 국내총생산,비농업 취업자 수,실업률,월별 시간당 임금,주당 실업수당 신청건수,소매판매,미시간 소비자 심리지수,개인 소득,산업생산,설비가동률,기업재고,ISM 제조업 PMI,주택 건설허가건수,Case-Shiller 주택가격지수,NAHB 주택시장지수,MBA 구매지수,MBA 재융자지수,장단기 금리 (10년-3개월),M2 통화승수,M2 통화속도,은행 지급준비금,수입,수출,순수출,가계부채/GDP,비금융 기업부채/GDP,정부부채/GDP,연준 자산/GDP,기준금리
2013년 12월,"1,848.36",,1.70%,6.7%,1.94%,346.00K,3.42%,82.5,-2.16%,2.25%,77.59%,4.22%,56.5,6.80%,13.7,56,-11.13,-62.74,2.97%,2.98K,,2.54K,,,,,,,,0.09%
2014년 01월,"1,782.59",1.65%,1.70%,6.6%,2.02%,326.75K,1.76%,81.2,3.52%,1.86%,77.25%,3.76%,52.5,3.83%,13.4,46,-14.93,-64.51,2.65%,2.99K,1.54,2.56K,3.57%,3.89%,2.15%,79.98,44.84K,102.35%,23.85,0.07%
2014년 02월,"1,859.45",,1.60%,6.7%,2.31%,335.25K,1.86%,81.6,3.99%,2.15%,77.77%,4.19%,55,6.02%,13.2,46,-16.95,-67.72,2.61%,2.92K,,2.65K,,,,,,,,0.07%
2014년 03월,"1,872.34",,1.69%,6.7%,2.14%,321.00K,3.69%,80.0,4.47%,2.72%,78.46%,4.7%,55.9,14.00%,12.9,46,-22.15,-73.03,2.68%,2.89K,,2.68K,,,,,,,,0.08%
2014년 04월,"1,883.95",2.69%,1.78%,6.2%,1.97%,322.75K,5.27%,84.1,4.65%,2.91%,78.47%,4.83%,56.6,7.71%,12.4,45,-15.43,-61.9,2.64%,2.87K,1.54,2.71K,5.1%,5.92%,1.41%,80.4,44.68K,100.65%,24.52,0.09%
2014년 05월,"1,923.57",,1.78%,6.3%,2.13%,313.80K,4.81%,81.9,4.53%,3.23%,78.70%,5.59%,55.7,1.50%,10.8,49,-17.88,-56.51,2.44%,2.9K,,2.69K,,,,,,,,0.09%
2014년 06월,"1,960.23",,1.89%,6.1%,2.09%,313.50K,4.75%,82.5,4.80%,3.37%,78.90%,5.6%,55,7.22%,9.3,53,-12,-40.99,2.49%,2.89K,,2.72K,,,,,,,,0.10%
2014년 07월,"1,930.67",3.06%,1.97%,6.2%,2.09%,301.75K,4.34%,81.8,5.32%,3.92%,78.99%,5.66%,55.1,7.92%,8.1,55,-11.09,-25.41,2.55%,2.87K,1.55,2.76K,4.39%,4.99%,1.51%,80.36,44.68K,100.11%,24.75,0.09%
2014년 08월,"2,003.37",,1.92%,6.1%,2.16%,302.00K,5.29%,82.5,5.50%,3.13%,78.77%,5.5%,56.3,8.61%,6.7,59,-15.85,-31.32,2.32%,2.82K,,2.84K,,,,,,,,0.09%
2014년 09월,"1,972.29",,2.00%,5.9%,2.08%,295.00K,4.91%,84.6,5.43%,2.90%,78.92%,5.01%,55.7,7.27%,5.6,54,-15.88,-22.43,2.50%,2.84K,,2.81K,,,,,,,,0.09%
2014년 10월,"2,018.05",2.69%,2.01%,5.7%,2.08%,288.75K,4.98%,86.9,6.15%,2.99%,78.87%,4.62%,56.2,4.79%,4.7,58,-11.02,-20.26,2.34%,2.9K,1.54,2.76K,4.44%,1.15%,22.29%,80.74,45.39K,101.28%,25.05,0.09%
2014년 11월,"2,067.56",,2.02%,5.8%,2.07%,291.60K,4.98%,88.8,6.22%,3.39%,79.30%,4.3%,56.3,2.92%,4.4,58,-9.61,-19.48,2.16%,3.04K,,2.58K,,,,,,,,0.09%
2014년 12월,"2,058.90",,2.18%,5.6%,1.86%,284.50K,3.69%,93.6,6.34%,3.17%,79.24%,3.61%,55.7,6.67%,4.2,57,2.13,58.36,2.13%,2.98K,,2.67K,,,,,,,,0.12%
2015년 01월,"1,994.99",3.97%,2.19%,5.7%,2.15%,287.60K,4.04%,98.1,6.00%,2.73%,78.58%,3.25%,53.9,7.48%,4.3,55,9.81,27.77,1.66%,2.94K,1.52,2.75K,-0.99%,-1.9%,3.2%,77.58,45.93K,100.49%,24.91,0.11%
2015년 02월,"2,104.50",,2.26%,5.5%,1.89%,301.25K,2.49%,95.4,5.93%,1.30%,78.06%,3.03%,53,8.47%,4.4,52,2.7,34.93,1.98%,3.1K,,2.56K,,,,,,,,0.11%
2015년 03월,"2,067.89",,2.13%,5.4%,2.22%,284.00K,2.95%,93.0,5.22%,-0.00%,77.78%,2.75%,52.1,0.47%,4.9,56,20.75,46.01,1.91%,2.96K,,2.73K,,,,,,,,0.11%
2015년 04월,"2,085.51",3.28%,2.10%,5.4%,2.26%,286.00K,2.1%,95.9,5.12%,-0.64%,77.35%,2.7%,51.9,6.97%,4.9,54,13.14,8.4,2.04%,2.94K,1.52,2.76K,-3.12%,-3.95%,0.82%,78.28,46.58K,99.3%,24.46,0.12%
2015년 05월,"2,107.39",,2.18%,5.6%,2.34%,274.00K,2.72%,90.7,5.13%,-1.46%,77.01%,2.47%,52.9,24.95%,4.9,60,17.8,4.33,2.11%,3.03K,,2.64K,,,,,,,,0.12%
2015년 06월,"2,063.11",,2.06%,5.3%,2.09%,273.75K,2.49%,96.1,4.87%,-2.11%,76.78%,2.89%,52.5,36.53%,4.9,60,17.43,6.02,2.34%,3.07K,,2.61K,,,,,,,,0.13%
2015년 07월,"2,103.84",2.45%,2.10%,5.2%,2.17%,277.75K,3.24%,93.1,4.71%,-1.69%,77.29%,2.6%,52,5.95%,4.8,61,17.99,16.7,2.12%,3.05K,1.52,2.65K,-3.11%,-5.77%,9.96%,78.94,46.94K,98.64%,24.38,0.13%
2015년 08월,"1,972.18",,2.05%,5.1%,2.28%,275.20K,2.43%,91.9,4.41%,-1.69%,77.17%,2.4%,50.2,11.27%,4.9,61,19.73,30.71,2.13%,3.04K,,2.67K,,,,,,,,0.14%
2015년 09월,"1,920.03",,1.94%,5.0%,2.24%,269.50K,2.25%,87.2,4.14%,-2.24%,76.98%,2.45%,50.1,6.22%,5,65,23.2,-0.43,2.06%,3.02K,,2.7K,,,,,,,,0.14%
2015년 10월,"2,079.36",2.12%,1.99%,5.0%,2.48%,267.00K,1.57%,90.0,3.90%,-2.73%,76.63%,2.39%,49.1,6.03%,5.2,62,23.66,4.13,2.08%,3.01K,1.5,2.73K,-5.55%,-6.48%,-1.42%,78.98,47.39K,102.64%,24.35,0.12%
2015년 11월,"2,080.41",,1.94%,5.1%,2.39%,268.50K,1.66%,91.3,3.45%,-4.03%,76.08%,1.91%,49.1,17.47%,5.3,60,44.88,9.46,1.99%,3.07K,,2.66K,,,,,,,,0.12%
2015년 12월,"2,043.94",,1.93%,5.0%,2.52%,271.00K,2.8%,92.6,3.28%,-4.50%,75.72%,1.83%,48.7,12.97%,5.6,61,24.11,-30.05,2.11%,3.23K,,2.48K,,,,,,,,0.24%
2016년 01월,"1,940.24",1.80%,1.88%,4.8%,2.55%,279.60K,2.63%,92.0,3.05%,-3.24%,76.12%,1.85%,47.6,11.63%,5.6,58,28.03,21.79,1.61%,3.3K,1.47,2.44K,-4.67%,-5.09%,-2.8%,76.94,48.21K,103.99%,24.19,0.34%
2016년 02월,"1,932.23",,1.83%,4.9%,2.38%,266.75K,3.75%,91.7,2.50%,-3.12%,75.73%,1.25%,49.2,3.99%,5.6,58,27.92,-7.65,1.41%,3.25K,,2.51K,,,,,,,,0.38%
2016년 03월,"2,059.74",,1.94%,5.0%,2.41%,263.25K,1.89%,91.0,2.73%,-3.52%,75.16%,1.41%,51,4.29%,5.4,58,14.41,11.77,1.57%,3.25K,,2.52K,,,,,,,,0.36%
2016년 04월,"2,065.30",1.49%,1.88%,5.1%,2.57%,266.00K,2.25%,89.0,2.51%,-2.66%,75.40%,1.39%,51.3,-0.51%,5.4,58,16.58,30.42,1.61%,3.29K,1.46,2.49K,-3.51%,-3.41%,-3.96%,77.63,48.01K,103.58%,23.91,0.37%
2016년 05월,"2,096.95",,1.67%,4.8%,2.44%,274.50K,1.74%,94.7,2.17%,-2.45%,75.20%,1.42%,51.4,-5.27%,5.4,60,8.23,54.82,1.50%,3.34K,,2.44K,,,,,,,,0.37%
2016년 06월,"2,098.86",,1.72%,4.9%,2.6%,265.25K,2.81%,93.5,2.21%,-1.68%,75.53%,0.83%,52.2,-12.40%,5.2,58,12.17,71.76,1.23%,3.36K,,2.43K,,,,,,,,0.38%
2016년 07월,"2,173.60",1.81%,1.78%,4.8%,2.72%,259.40K,1.78%,90.0,2.40%,-2.20%,75.58%,0.87%,52.7,5.09%,5.1,59,8.76,49.86,1.18%,3.42K,1.46,2.37K,-1.7%,0.41%,-10.57%,78.52,47.99K,103.6%,23.63,0.39%
2016년 08월,"2,170.95",,1.78%,4.9%,2.43%,263.50K,1.83%,89.8,2.45%,-2.16%,75.43%,0.73%,49.8,3.09%,5,65,10.24,34.04,1.25%,3.4K,,2.41K,,,,,,,,0.40%
2016년 09월,"2,168.27",,1.89%,5.0%,2.63%,251.50K,3%,91.2,2.75%,-1.99%,75.31%,0.69%,51.1,13.90%,5,63,8.68,24.28,1.31%,3.49K,,2.33K,,,,,,,,0.40%
2016년 10월,"2,126.15",2.18%,1.74%,4.9%,2.78%,255.80K,3.45%,87.2,2.89%,-1.50%,75.29%,0.64%,51.8,8.10%,5,63,10.34,-8.87,1.50%,3.67K,1.45,2.16K,1.95%,2.07%,1.45%,79.06,47.3K,104.65%,23.33,0.40%
2016년 11월,"2,198.81",,1.66%,4.7%,2.57%,245.75K,3.09%,93.8,3.15%,-1.19%,74.95%,1.46%,53.2,-1.13%,5,69,4.76,-12.55,1.89%,3.64K,,2.2K,,,,,,,,0.41%
2016년 12월,"2,238.83",,1.63%,4.7%,2.69%,252.20K,3.88%,98.2,3.28%,-0.02%,75.44%,1.87%,54.4,3.06%,5.1,67,,,1.94%,3.75K,,2.1K,,,,,,,,0.54%
2017년 01월,"2,278.87",2.09%,1.69%,4.7%,2.48%,244.00K,5.68%,98.5,3.81%,-0.80%,75.23%,2.13%,55.7,11.27%,5.4,65,,,1.93%,3.7K,1.44,2.16K,6.66%,7.23%,4.25%,76.1,47.69K,102.94%,23.1,0.65%
2017년 02월,"2,363.64",,1.70%,4.6%,2.72%,230.25K,4.78%,96.3,4.25%,-0.69%,74.93%,2.56%,57.7,5.29%,5.7,71,,,1.83%,3.58K,,2.3K,,,,,,,,0.66%
2017년 03월,"2,362.72",,1.61%,4.4%,2.59%,233.75K,4.94%,96.9,4.34%,0.72%,75.44%,2.4%,56.5,13.77%,5.9,68,,,1.64%,3.49K,,2.39K,,,,,,,,0.79%
2017년 04월,"2,384.20",2.33%,1.61%,4.4%,2.55%,227.80K,4.73%,97.0,4.55%,1.40%,76.24%,1.99%,55.8,7.84%,5.9,69,,,1.49%,3.54K,1.43,2.34K,7.08%,5.75%,13.1%,76.88,47.99K,102.09%,23,0.90%
2017년 05월,"2,411.80",,1.72%,4.4%,2.46%,239.00K,3.88%,97.1,5.05%,1.75%,76.37%,1.93%,56.4,0.25%,5.7,66,,,1.23%,3.59K,,2.29K,,,,,,,,0.91%
2017년 06월,"2,423.41",,1.69%,4.3%,2.5%,248.00K,3.31%,95.0,4.95%,1.48%,76.58%,2.37%,56.2,12.00%,5.7,64,,,1.28%,3.61K,,2.27K,,,,,,,,1.04%
2017년 07월,"2,470.30",2.41%,1.56%,4.3%,2.57%,250.80K,3.4%,93.4,4.87%,1.12%,76.45%,2.68%,56.5,4.84%,5.6,67,3.7,-41.42,1.23%,3.59K,1.44,2.3K,5.99%,5.05%,10.45%,77.64,47.82K,102.8%,22.67,1.15%
2017년 08월,"2,471.65",,1.56%,4.4%,2.57%,247.75K,3.57%,96.8,5.04%,0.85%,76.21%,3.23%,58.4,9.83%,5.8,64,3.68,-36.41,1.11%,3.5K,,2.41K,,,,,,,,1.16%
2017년 09월,"2,519.36",,1.41%,4.3%,2.79%,272.40K,5%,95.1,5.27%,1.06%,76.36%,3.26%,60,-2.30%,5.8,68,9.72,-36.04,1.27%,3.55K,,2.36K,,,,,,,,1.15%
2017년 10월,"2,575.26",2.99%,1.44%,4.2%,2.32%,242.25K,4.9%,100.7,5.43%,2.29%,77.38%,3.23%,58.6,8.13%,6.1,69,4.75,-18.01,1.23%,3.6K,1.45,2.31K,8.39%,9.29%,4.54%,78.63,47.81K,102.27%,22.26,1.15%
2017년 11월,"2,647.58",,1.51%,4.2%,2.47%,247.75K,5.96%,98.5,5.52%,2.97%,77.63%,3.05%,57.6,5.61%,6.3,74,1.3,11.44,1.15%,3.54K,,2.38K,,,,,,,,1.16%
2017년 12월,"2,673.61",,1.45%,4.1%,2.7%,242.60K,5.29%,95.9,5.41%,2.47%,77.85%,3.22%,59.7,5.05%,6.4,72,,,1.01%,3.6K,,2.31K,,,,,,,,1.30%
2018년 01월,"2,823.81",3.33%,1.40%,4.0%,2.77%,235.25K,3.66%,95.7,5.21%,2.74%,77.91%,3.51%,59.4,1.07%,6.3,71,,,1.26%,3.63K,1.46,2.28K,7.66%,7.59%,7.99%,74.9,47.63K,103.74%,21.74,1.41%
2018년 02월,"2,713.83",,1.51%,4.1%,2.57%,221.00K,4.25%,99.7,5.14%,3.40%,78.15%,3.89%,60.9,7.05%,6.4,70,,,1.22%,3.62K,,2.31K,,,,,,,,1.42%
2018년 03월,"2,640.87",,1.58%,4.0%,2.83%,225.80K,4.41%,101.4,5.20%,3.22%,78.57%,3.7%,58.8,8.88%,6.7,68,,,1.01%,3.69K,,2.23K,,,,,,,,1.51%
2018년 04월,"2,648.05",3.30%,1.54%,4.0%,2.79%,221.50K,4.06%,98.8,5.18%,3.31%,79.46%,4.1%,58.6,10.15%,6.7,70,,,1.08%,3.77K,1.46,2.15K,6.99%,9.04%,-1.75%,75.51,48.87K,102.98%,21.25,1.69%
2018년 05월,"2,705.27",,1.61%,3.8%,2.94%,221.25K,6.31%,98.0,5.02%,2.26%,78.75%,4.01%,59,10.76%,6.6,68,,,0.90%,3.83K,,2.09K,,,,,,,,1.70%
2018년 06월,"2,718.37",,1.62%,4.0%,2.93%,222.60K,5.4%,98.2,5.33%,2.84%,79.36%,3.72%,59.9,-0.59%,6.4,68,,,0.92%,3.87K,,2.05K,,,,,,,,1.82%
2018년 07월,"2,816.29",3.13%,1.53%,3.8%,2.85%,209.50K,6.03%,97.9,5.53%,3.25%,79.46%,3.98%,58.1,6.21%,6.3,67,2.68,-33.38,0.93%,3.92K,1.46,2.01K,8.15%,6.33%,16.32%,76.32,48.92K,103.45%,20.57,1.91%
2018년 08월,"2,901.52",,1.60%,3.8%,3.19%,208.50K,5.88%,96.2,5.56%,4.35%,79.93%,3.97%,60.5,-3.49%,5.8,67,4.07,-34.5,0.75%,3.97K,,1.98K,,,,,,,,1.91%
2018년 09월,"2,913.98",,1.60%,3.7%,3.13%,205.20K,3.32%,100.1,5.06%,4.31%,79.93%,4.4%,59.3,3.22%,5.5,68,-1.36,-34.87,0.86%,4K,,1.94K,,,,,,,,1.95%
2018년 10월,"2,711.74",2.13%,1.62%,3.8%,3.28%,213.00K,4.27%,98.6,4.84%,2.93%,79.78%,4.9%,58.1,-6.19%,5.1,60,1.27,-34.64,0.81%,4.05K,1.46,1.9K,4.54%,2.35%,14.29%,76.96,49.17K,105.05%,19.79,2.19%
2018년 11월,"2,760.17",,1.52%,3.8%,3.39%,225.25K,3.72%,97.5,4.70%,2.77%,79.77%,4.39%,58.6,3.16%,4.9,56,1.84,-32.91,0.64%,4.11K,,1.84K,,,,,,,,2.20%
2018년 12월,"2,506.85",,1.55%,3.9%,3.49%,224.60K,1.14%,98.3,5.59%,2.59%,79.71%,4.78%,54.9,0.46%,4.5,58,4.19,-18.49,0.24%,4.23K,,1.76K,,,,,,,,2.27%
2019년 01월,"2,704.10",1.93%,1.63%,4.0%,3.26%,222.75K,1.87%,91.2,5.47%,1.91%,79.10%,5.04%,55.7,-4.78%,4,62,3.17,-2.97,0.22%,4.32K,1.46,1.71K,1.27%,0.91%,2.82%,73.94,49.76K,104.34%,19.13,2.40%
2019년 02월,"2,784.49",,1.36%,3.8%,3.55%,222.50K,1.59%,93.8,5.51%,1.11%,78.59%,4.85%,54.4,-2.65%,3.4,62,3.84,8.5,0.28%,4.33K,,1.71K,,,,,,,,2.40%
2019년 03월,"2,834.40",,1.36%,3.8%,3.43%,211.80K,3.14%,98.4,5.55%,0.65%,78.53%,4.92%,54.9,-6.50%,2.8,63,2.63,12.88,0.01%,4.31K,,1.73K,,,,,,,,2.41%
2019년 04월,"2,945.83",2.24%,1.46%,3.7%,3.27%,209.75K,3.14%,97.2,5.41%,-1.02%,77.99%,5.13%,53.6,-4.06%,2.5,66,6.88,29.33,0.08%,4.44K,1.46,1.62K,1.91%,-0.57%,13.63%,74.89,49.68K,102.92%,18.36,2.42%
2019년 05월,"2,752.06",,1.26%,3.6%,3.34%,218.50K,2.6%,100.0,5.07%,-0.01%,78.00%,5.16%,52.6,0.67%,2.5,64,9.01,91.9,-0.21%,4.53K,,1.58K,,,,,,,,2.39%
2019년 06월,"2,941.76",,1.26%,3.6%,3.48%,225.20K,3.06%,98.2,4.78%,-0.74%,77.95%,5.11%,51.5,-3.42%,2.3,65,3.05,81.19,-0.12%,4.52K,,1.6K,,,,,,,,2.38%
2019년 07월,"2,980.38",2.80%,1.29%,3.7%,3.43%,208.50K,3.23%,98.4,4.29%,-1.38%,77.49%,4.77%,51,3.37%,2.1,67,1.74,167.14,-0.06%,4.57K,1.45,1.58K,-1.14%,-0.12%,-5.29%,75.83,49.88K,104.61%,17.4,2.40%
2019년 08월,"2,926.46",,1.27%,3.6%,3.42%,211.00K,3.87%,89.8,4.35%,-1.34%,77.95%,4.23%,48.5,16.42%,2,68,8.74,103.63,-0.49%,4.58K,,1.59K,,,,,,,,2.13%
2019년 09월,"2,976.74",,1.34%,3.5%,3.07%,209.50K,3.62%,93.2,4.43%,-1.74%,77.62%,3.55%,48.1,11.80%,2,71,9.92,133.66,-0.20%,4.7K,,1.5K,,,,,,,,2.04%
2019년 10월,"3,037.56",3.35%,1.29%,3.6%,3.18%,212.25K,2.87%,95.5,4.49%,-2.46%,76.91%,3.03%,48.1,19.73%,2.1,71,7.79,189.73,0.15%,4.67K,1.44,1.55K,-3.81%,0%,-19.05%,76.73,49.63K,105.78%,18.33,1.83%
2019년 11월,"3,140.98",,1.37%,3.6%,3.28%,224.40K,3.08%,96.8,4.69%,-2.05%,77.25%,3.04%,48.1,14.55%,2.2,76,4.82,123.38,0.19%,4.61K,,1.6K,,,,,,,,1.55%
2019년 12월,"3,230.78",,1.33%,3.6%,2.98%,236.00K,5.47%,99.3,3.23%,-2.30%,77.04%,2.23%,47.9,9.57%,2.5,75,17.84,145.85,0.37%,4.48K,,1.7K,,,,,,,,1.55%
2020년 01월,"3,225.52",1.36%,1.31%,3.6%,3.04%,215.50K,5.03%,99.8,4.04%,-2.29%,76.52%,1.14%,51.4,19.22%,2.8,74,10.57,151.62,-0.04%,4.48K,1.39,1.72K,-6.38%,-4.3%,-15.31%,77.46,53.54K,106.77%,19.09,1.55%
2020년 02월,"2,954.22",,1.48%,3.5%,3.07%,210.20K,4.79%,101.0,4.14%,-1.42%,76.78%,0.24%,50.1,13.14%,3.1,72,-11.25,195.41,-0.14%,4.48K,,1.73K,,,,,,,,1.58%
2020년 03월,"2,584.59",,0.40%,4.4%,3.46%,2335.25K,-6.2%,89.1,2.00%,-5.32%,73.79%,-0.17%,49,3.94%,3.5,30,-22.76,201.73,0.59%,4.13K,,2.1K,,,,,,,,0.65%
2020년 04월,"2,912.43",-7.40%,-13.39%,14.8%,8.1%,4663.25K,-19.69%,71.8,13.61%,-17.32%,64.08%,-2.06%,41.8,-18.61%,3.9,37,8.4,176.1,0.55%,3.52K,1.13,2.95K,-25.55%,-28.18%,-14.74%,77.49,60.72K,132.66%,33.35,0.05%
2020년 05월,"3,044.31",,-11.67%,13.2%,6.6%,2173.40K,-5.21%,72.3,8.78%,-16.05%,65.19%,-4.54%,43.5,-7.20%,3.9,58,17.42,76.18,0.51%,3.48K,,3.22K,,,,,,,,0.05%
2020년 06월,"3,100.29",,-8.73%,11.0%,5.04%,1490.25K,2.53%,78.1,8.87%,-10.59%,69.52%,-5.79%,52.6,2.69%,3.6,72,20.99,120.85,0.50%,3.64K,,3.04K,,,,,,,,0.08%
2020년 07월,"3,271.12",-1.36%,-7.74%,10.2%,4.85%,1383.50K,3.38%,72.5,10.13%,-6.78%,72.21%,-5.87%,53.8,12.11%,3.5,78,32.51,34.47,0.46%,3.9K,1.18,2.72K,-10.06%,-16.41%,17.43%,78.7,55.36K,124.15%,32.02,0.09%
2020년 08월,"3,500.31",,-6.85%,8.4%,4.8%,922.40K,3.55%,74.1,6.32%,-6.51%,73.02%,-5.35%,55.4,3.44%,4.2,83,22.76,73.59,0.61%,3.83K,,2.8K,,,,,,,,0.10%
2020년 09월,"3,363.00",,-6.34%,7.8%,4.79%,851.75K,6.29%,80.4,6.93%,-6.18%,73.15%,-4.65%,55.5,11.37%,5.4,85,23.46,79.65,0.59%,3.81K,,2.85K,,,,,,,,0.09%
2020년 10월,"3,269.96",-0.92%,-5.94%,6.9%,4.6%,795.40K,5.57%,81.8,6.56%,-4.62%,73.86%,-3.73%,58.7,5.91%,6.7,90,17.78,78.67,0.79%,3.81K,1.17,2.88K,-0.48%,-10.23%,47.68%,79.96,54.14K,125.63%,32.36,0.09%
2020년 11월,"3,621.63",,-5.89%,6.7%,4.59%,751.25K,3.84%,76.9,5.32%,-4.76%,74.26%,-3.04%,57.3,10.94%,8.1,86,26.47,124.26,0.76%,3.73K,,3.03K,,,,,,,,0.09%
2020년 12월,"3,756.07",,-6.09%,6.7%,5.39%,836.75K,4.4%,80.7,6.17%,-3.28%,75.39%,-2.34%,60.2,21.41%,9.2,83,6.53,65.1,0.84%,3.67K,,3.13K,,,,,,,,0.09%
2021년 01월,"3,714.24",1.80%,-6.03%,6.4%,5.28%,827.80K,8.56%,79.0,16.05%,-2.13%,75.94%,-1.16%,59.3,24.08%,10.2,84,-3,34.88,1.05%,3.69K,1.16,3.15K,8.51%,-1.56%,57.31%,72.74,53.28K,124.04%,32.65,0.09%
2021년 02월,"3,811.15",,-5.85%,6.2%,5.29%,755.00K,5.74%,76.8,7.45%,-5.68%,73.57%,0.19%,60.8,17.59%,11.2,82,25.23,-14.89,1.40%,3.61K,,3.35K,,,,,,,,0.08%
2021년 03월,"3,972.89",,-4.42%,6.1%,4.52%,669.25K,28.88%,84.9,31.97%,1.00%,75.85%,0.71%,63.8,30.46%,12.1,83,35.29,-18.35,1.71%,3.4K,,3.72K,,,,,,,,0.07%
2021년 04월,"4,181.17",12.39%,10.86%,6.1%,0.6%,589.00K,51.85%,88.3,2.99%,16.55%,76.12%,2.33%,61,59.94%,13.5,83,-4.05,-8.58,1.64%,3.34K,1.15,3.89K,42.09%,37.88%,56.7%,75.76,52.68K,121.79%,33.22,0.07%
2021년 05월,"4,204.11",,9.04%,5.8%,2.32%,469.20K,26.51%,82.9,5.41%,15.67%,76.93%,5.64%,61.9,36.24%,15.2,81,-18.39,-16.83,1.57%,3.39K,,3.87K,,,,,,,,0.06%
2021년 06월,"4,297.50",,5.92%,5.9%,3.95%,409.50K,18.13%,85.5,5.31%,8.96%,77.34%,7.85%,61.1,23.99%,17.3,80,-17.71,-8.17,1.40%,3.4K,,3.85K,,,,,,,,0.08%
2021년 07월,"4,395.26",5.15%,5.39%,5.4%,4.32%,370.00K,14.35%,81.2,5.12%,5.50%,77.80%,9.01%,60,7.24%,19.2,75,-16.99,2.85,1.18%,3.37K,1.15,3.94K,23.19%,21.95%,27.03%,77.22,52.17K,118.54%,34.28,0.10%
2021년 08월,"4,522.68",,4.61%,5.1%,4.37%,359.75K,14.09%,70.3,8.61%,4.26%,77.73%,9.42%,59.6,13.24%,20,76,-12.62,0.38,1.26%,3.29K,,4.14K,,,,,,,,0.09%
2021년 09월,"4,307.54",,4.23%,4.7%,4.98%,354.75K,12.63%,72.8,7.12%,3.01%,76.89%,9.94%,60.7,0.24%,19.7,80,-9.7,-25.54,1.48%,3.28K,,4.19K,,,,,,,,0.08%
2021년 10월,"4,605.38",5.76%,4.29%,4.5%,5.42%,284.40K,14.74%,71.7,7.93%,3.56%,77.98%,10.55%,60.4,5.83%,19.1,83,-6.01,-33.63,1.50%,3.34K,1.16,4.13K,21.42%,21.93%,19.87%,78.84,51.16K,119.36%,34.48,0.08%
2021년 11월,"4,567.00",,4.55%,4.1%,5.36%,236.50K,17.03%,67.4,9.27%,3.90%,78.56%,11.61%,60.8,3.64%,18.5,84,-9.11,-42.37,1.38%,3.34K,,4.18K,,,,,,,,0.08%
2021년 12월,"4,766.18",,5.10%,3.9%,4.95%,216.25K,15.11%,70.6,8.95%,2.25%,78.37%,13.72%,58.6,9.53%,18.3,83,-10.2,-53.32,1.46%,3.35K,,4.19K,,,,,,,,0.08%
2022년 01월,"4,515.55",4.03%,5.00%,4.0%,5.58%,239.20K,12.92%,67.2,-1.48%,1.32%,78.09%,14.75%,57.6,3.50%,18.5,81,-5.36,-56.4,1.57%,3.55K,1.16,3.87K,23.01%,19.73%,32.97%,72.92,51.15K,120.4%,35.09,0.08%
2022년 02월,"4,373.94",,5.19%,3.9%,5.29%,219.00K,17.11%,62.8,6.58%,5.43%,78.58%,15.94%,58.4,8.53%,19,79,-10.16,-60.05,1.48%,3.6K,,3.8K,,,,,,,,0.08%
2022년 03월,"4,530.41",,4.91%,3.7%,5.89%,215.00K,7.86%,59.4,-11.36%,3.05%,79.03%,18.48%,57,6.38%,20.3,77,-16.6,-70.78,1.80%,3.55K,,3.87K,,,,,,,,0.20%
2022년 04월,"4,131.93",2.45%,4.87%,3.7%,5.76%,213.00K,8.41%,65.2,2.10%,2.92%,79.04%,19.78%,55.9,8.02%,21.2,69,-16.42,-74.91,2.04%,3.7K,1.19,3.62K,22.14%,22.63%,20.66%,74.33,50.71K,118.2%,34.57,0.33%
2022년 05월,"4,132.15",,4.73%,3.6%,5.56%,209.75K,9.01%,58.4,4.47%,1.91%,78.92%,20.89%,56.1,0.06%,21.3,67,-4.74,-74.58,1.69%,3.88K,,3.32K,,,,,,,,0.77%
2022년 06월,"3,785.38",,4.48%,3.6%,5.4%,212.50K,8.85%,50.0,4.77%,1.22%,78.63%,21.62%,53.1,5.02%,20.5,55,-18.06,-82.62,1.26%,3.93K,,3.23K,,,,,,,,1.21%
2022년 07월,"4,130.29",2.35%,4.30%,3.5%,5.48%,218.20K,9.59%,51.5,4.63%,0.97%,78.72%,20.91%,52.7,2.71%,18.6,49,-22.68,-84.02,0.26%,3.91K,1.22,3.26K,15.34%,21.22%,-2.05%,75.56,50.09K,117.44%,33.76,1.68%
2022년 08월,"3,955.00",,4.11%,3.6%,5.39%,216.50K,9.58%,58.2,5.04%,1.05%,78.54%,20.72%,52.9,-10.31%,16,46,-28.92,-84.4,0.19%,3.88K,,3.31K,,,,,,,,2.33%
2022년 09월,"3,585.62",,3.93%,3.5%,5.13%,197.50K,8.56%,58.6,6.25%,2.46%,78.61%,19.62%,51,-2.44%,13,38,-41.29,-86.03,0.50%,3.98K,,3.13K,,,,,,,,2.56%
2022년 10월,"3,871.98",1.32%,3.61%,3.6%,5.01%,202.60K,8.1%,59.9,6.12%,1.06%,78.48%,18.36%,50,-6.62%,10.4,33,-38.79,-87.97,-0.12%,4.02K,1.25,3.06K,6.02%,10.08%,-6.4%,76.37,49.12K,117.37%,32.58,3.08%
